species,scenario,year,net_ocean_to_air_mol,gross_outgassing_mol,net_ocean_to_air_Gg,gross_outgassing_Gg
CFC-11,observed_sst,2016,-3199839.148119662,0.0,-0.4395555040989017,0.0
CFC-11,observed_sst,2017,-3260621.1532127336,0.0,-0.4479050065745268,0.0
CFC-11,observed_sst,2018,-3282686.8506351262,0.0,-0.450936127298046,0.0
CFC-11,observed_sst,2019,-3083689.5991597306,0.0,-0.42360027285737384,0.0
CFC-11,observed_sst,2020,-3059641.3424015567,0.0,-0.42029681192301704,0.0
CFC-11,observed_sst,2021,-3046200.192853993,0.0,-0.4184504280919673,0.0
CFC-11,observed_sst,2022,-2926532.884793099,0.0,-0.4020119693182584,0.0
CFC-11,observed_sst,2023,-2623871.714106571,0.0,-0.36043600962339145,0.0
CFC-11,observed_sst,2024,-2642322.598199133,0.0,-0.36297057066941846,0.0
CFC-11,observed_sst,2025,-2750670.3280798197,0.0,-0.3778540816276687,0.0
CFC-11,zero_anomaly,2016,-3958785.047902458,0.0,-0.5438103844602648,0.0
CFC-11,zero_anomaly,2017,-3680148.6049422496,0.0,-0.505534653563707,0.0
CFC-11,zero_anomaly,2018,-3545943.304567882,0.0,-0.4870991398618808,0.0
CFC-11,zero_anomaly,2019,-3375399.056597175,0.0,-0.4636718176066408,0.0
CFC-11,zero_anomaly,2020,-3207396.554874735,0.0,-0.4405936499500326,0.0
CFC-11,zero_anomaly,2021,-3117195.2772562094,0.0,-0.42820288084613095,0.0
CFC-11,zero_anomaly,2022,-3057087.188646022,0.0,-0.41994595292992676,0.0
CFC-11,zero_anomaly,2023,-2987360.363096185,0.0,-0.41036771835779673,0.0
CFC-11,zero_anomaly,2024,-2904453.9362657443,0.0,-0.39897902831695276,0.0
CFC-11,zero_anomaly,2025,-2851073.837980237,0.0,-0.39164631097566915,0.0
CFC-12,observed_sst,2016,-1979200.547279712,0.0,-0.2393110757732318,0.0
CFC-12,observed_sst,2017,-1980583.9715702927,0.0,-0.2394783497544788,0.0
CFC-12,observed_sst,2018,-1981746.4530511484,0.0,-0.23961890887777348,0.0
CFC-12,observed_sst,2019,-1882819.1112519149,0.0,-0.22765730719880278,0.0
CFC-12,observed_sst,2020,-1907744.7726723617,0.0,-0.23067114369813327,0.0
CFC-12,observed_sst,2021,-1915431.4038533662,0.0,-0.23160055733412205,0.0
CFC-12,observed_sst,2022,-1864697.0929167196,0.0,-0.22546611959583931,0.0
CFC-12,observed_sst,2023,-1705945.7592085414,0.0,-0.20627101958318236,0.0
CFC-12,observed_sst,2024,-1737691.4482870623,0.0,-0.21010948608673355,0.0
CFC-12,observed_sst,2025,-1797548.3791309074,0.0,-0.21734696716585541,0.0
CFC-12,zero_anomaly,2016,-2381917.990686615,0.0,-0.28800485000789067,0.0
CFC-12,zero_anomaly,2017,-2202050.6454313407,0.0,-0.2662565496910397,0.0
CFC-12,zero_anomaly,2018,-2119845.0493332213,0.0,-0.2563168244500278,0.0
CFC-12,zero_anomaly,2019,-2036230.1340500442,0.0,-0.246206694198393,0.0
CFC-12,zero_anomaly,2020,-1986393.1210685093,0.0,-0.24018075144775664,0.0
CFC-12,zero_anomaly,2021,-1953952.5095669348,0.0,-0.23625825978926676,0.0
CFC-12,zero_anomaly,2022,-1935299.7118096054,0.0,-0.2340028940540348,0.0
CFC-12,zero_anomaly,2023,-1901225.092585843,0.0,-0.22988282961983203,0.0
CFC-12,zero_anomaly,2024,-1880107.5180184692,0.0,-0.22732944032616717,0.0
CFC-12,zero_anomaly,2025,-1853548.3429640606,0.0,-0.22411809079281345,0.0
