time_s,ph,chlorophyll_a_mg_m3,OH_dynamic_molecule_cm3,OH_no_ph_biology_molecule_cm3,methane_lifetime_distortion_percent
0.0,7.7,2.0,1000000.0,1000000.0,0.0
86400.0,7.7,2.0,284715.3844970655,284714.9594497153,-0.00014928850823325845
172800.0,7.7,2.0,288039.2256028025,288036.6761392781,-0.0008851098384332623
259200.0,7.7,2.0,283024.79806211556,283017.8798162412,-0.002444395657807963
345600.0,7.7,2.0,276240.2263891813,276226.88988585956,-0.0048278643179688885
432000.0,7.7,2.0,270201.37082810636,270180.2334959205,-0.007822807160851042
518400.0,7.7,2.0,265627.21980241715,265597.5705544112,-0.011161976557971798
604800.0,7.7,2.0,262431.4924091836,262393.05219679273,-0.0146477132138223
691200.0,7.7,2.0,260281.92938219066,260234.63579094657,-0.018170140107820476
777600.0,7.7,2.0,258851.8507030252,258795.7415791474,-0.021676153261185327
864000.0,7.7,2.0,257893.37819992483,257828.5432603321,-0.025140211061358553
950400.0,7.7,2.0,257237.3154963064,257163.8768176408,-0.02854899901436614
1036800.0,7.7,2.0,256773.65099223156,256691.75394767403,-0.031894645046737224
1123200.0,7.7,2.0,256432.39851696425,256342.20523622635,-0.035172342207745455
1209600.0,7.7,2.0,256169.41289284383,256071.09705708816,-0.038379225156282004
1296000.0,7.7,2.0,255956.90671582043,255850.6493857106,-0.04151375771539456
1382400.0,7.7,2.0,255777.37181269075,255663.3576295287,-0.04457555504383537
1468800.0,7.7,2.0,255619.75072220594,255498.16623372125,-0.04756459081943776
1555200.0,7.7,2.0,255477.0410973807,255348.0718590141,-0.05048173323622951
1641600.0,7.7,2.0,255344.79196279892,255208.6219806432,-0.05332788701465363
1728000.0,7.7,2.0,255220.16323395894,255076.97362269126,-0.0561043490660329
1814400.0,7.7,2.0,255101.3323152934,254951.30142092818,-0.058812273931907466
1900800.0,7.7,2.0,254987.1213675472,254830.42328816105,-0.06145333087637095
1987200.0,7.7,2.0,254876.7609861981,254713.5666246764,-0.06402873329456327
2073600.0,7.7,2.0,254769.7416265655,254600.21752165712,-0.06654012514439867
2160000.0,7.7,2.0,254665.71839273104,254490.02706515635,-0.06898899808090997
2246400.0,7.7,2.0,254564.45169611173,254382.75183847622,-0.07137675996191639
2332800.0,7.7,2.0,254465.7692434978,254278.21555823047,-0.07370487819439164
2419200.0,7.7,2.0,254369.54184943362,254176.2851464691,-0.07597478124126145
2505600.0,7.7,2.0,254275.66818621272,254076.8554516778,-0.07818787222272361
2592000.0,7.7,2.0,254184.065065982,253979.83954193996,-0.08034552598291667
2678400.0,7.7,2.0,254094.6612646025,253885.16253307625,-0.08244908825852937
2764800.0,7.7,2.0,254007.39359088833,253792.75765991796,-0.08449987535247283
2851200.0,7.7,2.0,253922.20438104027,253702.56377130092,-0.0864991741367227
2937600.0,7.7,2.0,253839.0398978779,253614.52372889884,-0.08844824226776904
3024000.0,7.7,2.0,253757.84930462917,253528.58337999578,-0.09034830853967835
3110400.0,7.7,2.0,253678.58400367864,253444.69089482806,-0.09220057332359755
3196800.0,7.7,2.0,253601.19720723366,253362.79633560448,-0.09400620906153678
3283200.0,7.7,2.0,253525.64365545078,253282.85137284984,-0.09576636079106082
3369600.0,7.7,2.0,253451.87942840531,253204.80909551863,-0.09748214668752198
3456000.0,7.7,2.0,253379.86181785996,253128.6238808789,-0.09915465861357609
3542400.0,7.7,2.0,253309.54923721432,253054.2513025751,-0.10078496267037496
3628800.0,7.7,2.0,253240.9011559051,252981.6480631583,-0.1023740997459166
3715200.0,7.7,2.0,253173.87804953536,252910.77194237223,-0.10392308605852163
3801600.0,7.7,2.0,253108.44136018862,252841.58175565943,-0.10543291369308205
3888000.0,7.7,2.0,253044.55346340517,252774.03731936662,-0.10690455112983832
3974400.0,7.7,2.0,252982.17763957652,252708.09942041003,-0.10833894376424125
4060800.0,7.7,2.0,252921.2780483307,252643.72978897174,-0.10973701441835404
4147200.0,7.7,2.0,252861.81970499564,252580.89107331695,-0.11109966384266201
4233600.0,7.7,2.0,252803.76845855828,252519.54681614746,-0.11242777120920033
4320000.0,7.7,2.0,252747.0909707438,252459.66143211708,-0.11372219459491184
4406400.0,7.7,2.0,252691.75469597345,252401.20018626508,-0.11498377145623406
4492800.0,7.7,2.0,252637.72786204287,252344.1291732098,-0.11621331909436039
4579200.0,7.7,2.0,252584.9794514164,252288.41529699662,-0.11741163511143071
4665600.0,7.7,2.0,252533.47918306763,252234.02625152978,-0.11857949785769595
4752000.0,7.7,2.0,252483.19749481766,252180.93050153813,-0.11971766686998953
4838400.0,7.7,2.0,252434.1055261369,252129.09726404047,-0.12082688330117275
4924800.0,7.7,2.0,252386.1751013847,252078.49649028282,-0.1219078703412646
5011200.0,7.7,2.0,252339.378713467,252029.09884812843,-0.12296133362954542
5097600.0,7.7,2.0,252293.68950789716,251980.8757048827,-0.1239879616587336
5184000.0,7.7,2.0,252249.08126739349,251933.7991099336,-0.1249884264694967
